parameter_set_id,source_candidate_id,sampling_index,sampling_seed,C_d,eta_s,C_s_J_K,irrigation_flow_L_h,ET_scale,classification,config_hash,config_file,config_file_sha256,preflight_hash,preflight_file_sha256,weather_hash,T_air_max,RH_max,RH_saturation_fraction,RH_100_count,RH_longest_saturation_run,T_soil_max,hours_soil_above_38,hours_soil_above_40,soil_moisture_min,soil_moisture_max,stability_status
pa1_full_000_baseline,parameter_set_000_baseline,0,20260816,0.65,0.2,90000.0,10.0,1.0,APPROVED_FULL_RUN,213c903b8d5cefe85add4502e2151b92f9b56a847db98b4bc0bbbe9514d46eb2,outputs\final_parameter_preflight\configs\pa1_full_000_baseline.yaml,bbcaa4cb86bcad861e4f0a0095464976f889f6623060a456f5de13a814e4c51f,cbf10f7706ae1154428388b03adbc9ab0cf64e0e9c11a383303af8683db794d7,a967e7db24073ad6f8d5a86f2da26519d8944686c3801bbae0a6ee57c1b6ce7c,2d014eb72e33a8686c01be5f0b699b38467158691ac7bc2db166853cb28b46de,39.600353417736926,100.0,0.001388888888888889,1,1,37.56482133232096,0,0,0.20168620262303516,0.40725225403915716,PASS
pa1_full_001,lhs_candidate_000001,1,20260816,0.25987923633928883,0.1484503779096941,76030.90520032778,8.646656175596249,1.0211366757228089,EXTREME_VALID_APPROVED,e4bb342af32df0450bb21c00013525b9062687e3a62dcfa84a92509df42d07ea,outputs\final_parameter_preflight\configs\pa1_full_001.yaml,f91535d8191d7ae37e001af3d2c3021331108e90a17eacfe3a60dd102d513285,507d647fa65d3776d386a105e506ebe95eecf3e033a02a599c123489d8278e79,754c9c4a8ac22302b83415ae51c169ac548adbed12b8d51eb6cc73009ae61f48,2d014eb72e33a8686c01be5f0b699b38467158691ac7bc2db166853cb28b46de,39.8674905526437,100.0,0.020833333333333332,15,3,36.46881402519759,0,0,0.19393761609671128,0.4061458597681145,REPRESENTATIVE_COVERAGE
pa1_full_002,lhs_candidate_000002,2,20260816,0.5937707313781648,0.1910605573480928,83328.41437779252,10.45722527635351,1.0509351934089235,APPROVED_FULL_RUN,bfa9c19f1db44184f38079a50ec19c336f8ff94ed8c7c1088e3c43e491291160,outputs\final_parameter_preflight\configs\pa1_full_002.yaml,23a8f2d0466bb72ea36760ff93e1a2f71e40bf6d69d5c845bc4d5f5ded1e9e28,31568341718878a6d1b9cf6722a97bc7efab0dc19f3aeea30a9b54df4adb13cd,01893d2d824db4ebb2dd0b1bdc7e882c9ce674db25f29023838c4d6e648213c6,2d014eb72e33a8686c01be5f0b699b38467158691ac7bc2db166853cb28b46de,39.601367426919424,100.0,0.005555555555555556,4,2,37.44070631559337,0,0,0.20077896753773242,0.40758405963206085,REPRESENTATIVE_COVERAGE
pa1_full_003,lhs_candidate_000003,3,20260816,0.3625812888194653,0.1794706586960847,64453.45315903168,9.720684768622252,1.0363938102545842,APPROVED_FULL_RUN,6981c19000d85223896b26c34c6874c9da6d1b331f30eeb08f5f7005a2f60954,outputs\final_parameter_preflight\configs\pa1_full_003.yaml,b7301252c4e613333ac2a39a4eb91ba301125563344536b0ac115243cd4eb54c,2c27562a1566442b951f110ba1e5904cce47fdff7bee55163499a83d34e6993e,018ce9b82ebe1fe2eb489a74e0661306e0ca9f9d3440fa0af597450e0f291c55,2d014eb72e33a8686c01be5f0b699b38467158691ac7bc2db166853cb28b46de,39.75334212222259,100.0,0.013888888888888888,10,2,37.606529829691475,0,0,0.1982539161281901,0.40700792010251585,REPRESENTATIVE_COVERAGE
pa1_full_004,lhs_candidate_000004,4,20260816,0.5238725617970446,0.1672017903538136,86310.34536256846,12.656788132977825,1.2064146640767766,APPROVED_FULL_RUN,9f4acd63d09922fd8af95df47bab0d0e83f96887c3f49ca2e3e567c715add265,outputs\final_parameter_preflight\configs\pa1_full_004.yaml,3026705ddb70bdb685f73eac99096ac83f4721aa3cd317542ba3964373e7dc22,eb6ee56675b0890be4f52001701da474b2db4db676bcc0a67555bf5ec5abc764,135a354964c5ab0339832a8c2d4d40ad3696f4ef30c121717c6b17fcf542d1b1,2d014eb72e33a8686c01be5f0b699b38467158691ac7bc2db166853cb28b46de,39.49316460991622,100.0,0.015277777777777777,11,3,36.686235123212825,0,0,0.20082213657145784,0.4092654136783136,REPRESENTATIVE_COVERAGE
pa1_full_005,lhs_candidate_000005,5,20260816,0.6224913463041152,0.1405866386936771,69530.19737322906,9.242218430144888,1.0803423208519014,APPROVED_FULL_RUN,c0b192f8f3d9bb1bf777dc6607d43ebed913b6aab0b9b35a0fe1043d84a7f76a,outputs\final_parameter_preflight\configs\pa1_full_005.yaml,2ba2111bf036db542a8a7f26bf7d389ee6e865856d09ffd8c53099996cf174c9,b2041341d0f77031adb0bd7ea623e41c528eb3ea20432b2a026ae5c779c494c7,618c082c0d20687097fe65c758c7d7879888321194c46e6ff149550437a8a848,2d014eb72e33a8686c01be5f0b699b38467158691ac7bc2db166853cb28b46de,39.6710801398669,100.0,0.004166666666666667,3,2,36.306420047878234,0,0,0.1934029102492451,0.40653952065495524,REPRESENTATIVE_COVERAGE
pa1_full_006,lhs_candidate_000006,6,20260816,0.2992743900968508,0.11375162150324551,81160.58343956625,13.61805324059373,1.140690919011765,EXTREME_VALID_APPROVED,46da8ac2e356f4880c7f84ef936fac9a31ae164c37a149fc80dfc19fc3a33fb2,outputs\final_parameter_preflight\configs\pa1_full_006.yaml,6eaf3e546179bdaf418317ba67471ab24923e77580fafb68960d9eac5d8ad8c9,e9cdd5912481c764bee55776eb79592f1cb8e37f18d598dba8fdf94187a86641,d86031e6adb1ed87b84009f1c3f3ebdfdb81baf4b1e466c4f4a0bf07c86a58da,2d014eb72e33a8686c01be5f0b699b38467158691ac7bc2db166853cb28b46de,39.4741563144601,100.0,0.04722222222222222,34,4,35.27496796023505,0,0,0.20939989185301566,0.410164941099339,PASS
pa1_full_007,lhs_candidate_000007,7,20260816,0.42491817505513363,0.19633287938935798,82032.88038491813,12.039030639169972,1.1172996540236286,APPROVED_FULL_RUN,b1da6a9a923edf7442d6f1ced387c6cbd2b14f689f8c8e690257f84f5e82f745,outputs\final_parameter_preflight\configs\pa1_full_007.yaml,fe4a0db32fdb683c1b569947174b0e76c81e798bd2734389d7bc2343da0575cb,f26b69bd2977400f7f548ecc91cd33f96064d0629c7269257124359b4d7d6ffa,c3c0c703d292a13c05441349e0931412493d25619e9b2b3aefff9c4bbc9454d9,2d014eb72e33a8686c01be5f0b699b38467158691ac7bc2db166853cb28b46de,39.57039413115642,100.0,0.015277777777777777,11,2,37.60657028671618,0,0,0.20378266382638965,0.40885119248258595,PASS
pa1_full_008,lhs_candidate_000008,8,20260816,0.5565400339108825,0.1878473088416509,80177.09736984805,13.022543382116742,1.100347659217742,APPROVED_FULL_RUN,dbc4c842df314bb51215b6b4acf10ec6e894693c7abe343dde35503bbc6d1583,outputs\final_parameter_preflight\configs\pa1_full_008.yaml,5e3369ea5d912e1f0d1896909b3f016a59af382afe83207bef474103e90827aa,1f7f79111dd6054aa2489f48ba54b82b19cecc9547c26f63ab3a90a09e2c1538,fcdfc313550a82d83a325a99426c9ce6a797389bd0f7b3ce9cd053925ffc6c49,2d014eb72e33a8686c01be5f0b699b38467158691ac7bc2db166853cb28b46de,39.43683020271726,100.0,0.011111111111111112,8,2,37.36222467069883,0,0,0.2091448527163958,0.40967415791056633,REPRESENTATIVE_COVERAGE
pa1_full_009,lhs_candidate_000009,9,20260816,0.4874649292737562,0.1844019791788799,87166.74624315242,8.443606402396368,1.1294514346112494,APPROVED_FULL_RUN,dcdf41ed9efd2ad42bb181f7e24077579dd4f34a70d62507551bc0323a01db66,outputs\final_parameter_preflight\configs\pa1_full_009.yaml,849c3342e2d4357c958fcd4b1318c7c3bab4265a9c38392cfc9d16f5da6737a9,9cb8b57fd289d9ac81ab242616babd131fe79975099ad407f496dc685834055a,e037dbceafc15a2280c752d842a9c4a20035363fbd69a0d7e69e2d00ffe8ee18,2d014eb72e33a8686c01be5f0b699b38467158691ac7bc2db166853cb28b46de,39.81281529914783,100.0,0.009722222222222222,7,3,37.24967078888782,0,0,0.18752213780084398,0.40583545969004425,REPRESENTATIVE_COVERAGE
