parameter_set_id,manifest_version,origin,parent_parameter_set_id,source_candidate_id,sampling_index,raw_candidate_index,sampling_seed,C_d,eta_s,C_s_J_K,irrigation_flow_L_h,ET_scale,classification,config_hash,config_file,config_file_sha256,seasonal_preflight_file,seasonal_preflight_file_sha256,seasonal_preflight_status,reference_june_status,humid_stress_status,hot_solar_status,dry_vpd_status,transition_status,full_horizon_status,known_joint_constraint_pass,eligibility_basis,eligibility_status
pa1_full_000_baseline,2.0,V1_RETAINED_FULL_PASS,pa1_full_000_baseline,parameter_set_000_baseline,0,0,20260816,0.65,0.2,90000.0,10.0,1.0,APPROVED_FULL_RUN,213c903b8d5cefe85add4502e2151b92f9b56a847db98b4bc0bbbe9514d46eb2,outputs\final_parameter_preflight\configs\pa1_full_000_baseline.yaml,bbcaa4cb86bcad861e4f0a0095464976f889f6623060a456f5de13a814e4c51f,outputs\seasonal_stress_preflight\validation\pa1_full_000_baseline.json,fdb7d5e3f227070d12989abab86e49e47508f69ac0f84ac819de60b19c2f0bff,SEASONAL_PREFLIGHT_PASS,PASS,PASS,PASS,PASS,PASS,FULL_HORIZON_PASS,True,FULL_HORIZON_PASS,ELIGIBLE_FULL_RUN
pa1_full_001,2.0,V1_RETAINED_FULL_PASS,pa1_full_001,lhs_candidate_000001,1,1,20260816,0.25987923633928883,0.1484503779096941,76030.90520032778,8.646656175596249,1.0211366757228089,EXTREME_VALID_APPROVED,e4bb342af32df0450bb21c00013525b9062687e3a62dcfa84a92509df42d07ea,outputs\final_parameter_preflight\configs\pa1_full_001.yaml,f91535d8191d7ae37e001af3d2c3021331108e90a17eacfe3a60dd102d513285,outputs\seasonal_stress_preflight\validation\pa1_full_001.json,3b5a654b311372de3d3a9a25a33532bf1601218a9f10727ff6cd38df79812054,SEASONAL_PREFLIGHT_FAIL,PASS,FAIL,PASS,PASS,PASS,FULL_HORIZON_PASS,True,FULL_HORIZON_PASS,ELIGIBLE_FULL_RUN
pa1_full_002,2.0,V1_RETAINED_FULL_PASS,pa1_full_002,lhs_candidate_000002,2,2,20260816,0.5937707313781648,0.1910605573480928,83328.41437779252,10.45722527635351,1.0509351934089235,APPROVED_FULL_RUN,bfa9c19f1db44184f38079a50ec19c336f8ff94ed8c7c1088e3c43e491291160,outputs\final_parameter_preflight\configs\pa1_full_002.yaml,23a8f2d0466bb72ea36760ff93e1a2f71e40bf6d69d5c845bc4d5f5ded1e9e28,outputs\seasonal_stress_preflight\validation\pa1_full_002.json,dd33e4dd4b31a3adfe66417331ef35f69f587b8d9579d110d2656d0bf0fc08d3,SEASONAL_PREFLIGHT_FAIL,PASS,FAIL,PASS,PASS,PASS,FULL_HORIZON_PASS,True,FULL_HORIZON_PASS,ELIGIBLE_FULL_RUN
pa1_full_003,2.0,V1_RETAINED_FULL_PASS,pa1_full_003,lhs_candidate_000003,3,3,20260816,0.3625812888194653,0.1794706586960847,64453.45315903168,9.720684768622252,1.0363938102545842,APPROVED_FULL_RUN,6981c19000d85223896b26c34c6874c9da6d1b331f30eeb08f5f7005a2f60954,outputs\final_parameter_preflight\configs\pa1_full_003.yaml,b7301252c4e613333ac2a39a4eb91ba301125563344536b0ac115243cd4eb54c,outputs\seasonal_stress_preflight\validation\pa1_full_003.json,8dc8c311e3828d328c39d237ce4f7d09befe8e655dd5a88567f75bb5566fa283,SEASONAL_PREFLIGHT_FAIL,PASS,FAIL,PASS,PASS,PASS,FULL_HORIZON_PASS,True,FULL_HORIZON_PASS,ELIGIBLE_FULL_RUN
pa1_full_004,2.0,V1_RETAINED_FULL_PASS,pa1_full_004,lhs_candidate_000004,4,4,20260816,0.5238725617970446,0.1672017903538136,86310.34536256846,12.656788132977825,1.2064146640767766,APPROVED_FULL_RUN,9f4acd63d09922fd8af95df47bab0d0e83f96887c3f49ca2e3e567c715add265,outputs\final_parameter_preflight\configs\pa1_full_004.yaml,3026705ddb70bdb685f73eac99096ac83f4721aa3cd317542ba3964373e7dc22,outputs\seasonal_stress_preflight\validation\pa1_full_004.json,beccf9dc0cb4a906c23024df4e0a93e391db6837b5678ba6e666b5bf0c2b9704,SEASONAL_PREFLIGHT_FAIL,PASS,FAIL,PASS,PASS,PASS,FULL_HORIZON_PASS,True,FULL_HORIZON_PASS,ELIGIBLE_FULL_RUN
pa1_full_005,2.0,V1_RETAINED_FULL_PASS,pa1_full_005,lhs_candidate_000005,5,5,20260816,0.6224913463041152,0.1405866386936771,69530.19737322906,9.242218430144888,1.0803423208519014,APPROVED_FULL_RUN,c0b192f8f3d9bb1bf777dc6607d43ebed913b6aab0b9b35a0fe1043d84a7f76a,outputs\final_parameter_preflight\configs\pa1_full_005.yaml,2ba2111bf036db542a8a7f26bf7d389ee6e865856d09ffd8c53099996cf174c9,outputs\seasonal_stress_preflight\validation\pa1_full_005.json,579a50cd085778694785128bdefbbdb1ad6497f4384a9e7b79bc78c49ad01c2a,SEASONAL_PREFLIGHT_PASS,PASS,PASS,PASS,PASS,PASS,FULL_HORIZON_PASS,True,FULL_HORIZON_PASS,ELIGIBLE_FULL_RUN
pa1_full_009,2.0,V1_RETAINED,pa1_full_009,lhs_candidate_000009,9,9,20260816,0.4874649292737562,0.1844019791788799,87166.74624315242,8.443606402396368,1.1294514346112494,APPROVED_FULL_RUN,dcdf41ed9efd2ad42bb181f7e24077579dd4f34a70d62507551bc0323a01db66,outputs\final_parameter_preflight\configs\pa1_full_009.yaml,849c3342e2d4357c958fcd4b1318c7c3bab4265a9c38392cfc9d16f5da6737a9,outputs\seasonal_stress_preflight\validation\pa1_full_009.json,1cecd6752495dc62ee2e27b8f409a624ef415d72fb17da48e9cb150dd4d714fe,SEASONAL_PREFLIGHT_PASS,PASS,PASS,PASS,PASS,PASS,NOT_RUN,True,SEASONAL_STRESS_PASS,ELIGIBLE_FULL_RUN
pa1_full_010,2.0,V1_RETAINED,pa1_full_010,lhs_candidate_000010,10,10,20260816,0.5425751179759423,0.1709148979617735,71085.46990939286,6.78110312254388,1.027760635323201,APPROVED_FULL_RUN,381de891d081a0afdf0fbdef295cb89c45de5900fa4ee7eda2dbf9497739ffb7,outputs\final_parameter_preflight\configs\pa1_full_010.yaml,8d0cf6449bd3468bf69f6b4fb37421da3a8ea2239843c8c42cb3782e9da90ff9,outputs\seasonal_stress_preflight\validation\pa1_full_010.json,7663fb7d45c7d99ccffeefa0d6eab7c62cbf20b25c6f70bbf578e25e231032e8,SEASONAL_PREFLIGHT_PASS,PASS,PASS,PASS,PASS,PASS,NOT_RUN,True,SEASONAL_STRESS_PASS,ELIGIBLE_FULL_RUN
pa1_full_011,2.0,V1_RETAINED,pa1_full_011,lhs_candidate_000011,11,11,20260816,0.6161757030527564,0.13257770940825891,79677.48061941231,9.925998246296476,1.1710857296541235,APPROVED_FULL_RUN,588d1d08aac332bec5bc79095b761e83e8e3dae06ed4992f407a5ef4c74e8ea3,outputs\final_parameter_preflight\configs\pa1_full_011.yaml,7ee156dba050b17b82e3ae01b259b395aa99f602220819459cd1fd31f62906d4,outputs\seasonal_stress_preflight\validation\pa1_full_011.json,963906efabf4538706afc7eda8422aee0aaf8a72c1a21759b6c1f17b7f8dd7ff,SEASONAL_PREFLIGHT_PASS,PASS,PASS,PASS,PASS,PASS,NOT_RUN,True,SEASONAL_STRESS_PASS,ELIGIBLE_FULL_RUN
pa1_full_012,2.0,V1_RETAINED,pa1_full_012,lhs_candidate_000012,12,12,20260816,0.4597714964480232,0.15781559524254296,84085.45974139718,5.449289389440048,1.181860987571267,APPROVED_FULL_RUN,0ba14850bb450ce274a6b5c2a6b3be0f30b6c3c8f7346f8acddae7aa66a7658a,outputs\final_parameter_preflight\configs\pa1_full_012.yaml,cbf35027e9a461dcd607d9eba1586f489d0a12d39324bc43b00795e93eb962eb,outputs\seasonal_stress_preflight\validation\pa1_full_012.json,32f70fc3a335f3b5c35af27ad1dc7879412d319bb37c586aeb2aa92cabcd1d19,SEASONAL_PREFLIGHT_PASS,PASS,PASS,PASS,PASS,PASS,NOT_RUN,True,SEASONAL_STRESS_PASS,ELIGIBLE_FULL_RUN
