candidate_id,parameter_set_id,final_parameter_set_id,sampling_index,raw_candidate_index,lhs_batch,lhs_row,sampling_seed,sampling_method,sampling_version,is_baseline,C_d,eta_s,C_s_J_K,irrigation_flow_L_h,ET_scale,u_C_d,u_eta_s,u_C_s,u_irrigation_flow_L_h,u_ET_scale,stratum_C_d,stratum_eta_s,stratum_C_s,stratum_irrigation_flow_L_h,stratum_ET_scale,config_hash,joint_constraint_pass,violated_constraints,preflight_status,classification,reason
parameter_set_000_baseline,pa1_full_000_baseline,pa1_full_000_baseline,0,0,-1,-1,20260816,constrained_latin_hypercube_sampling,pa1_constrained_lhs_v1,True,0.65,0.2,90000.0,10.0,1.0,,,,,,,,,,,213c903b8d5cefe85add4502e2151b92f9b56a847db98b4bc0bbbe9514d46eb2,True,,PASS,APPROVED_FULL_RUN,
lhs_candidate_000001,pa1_full_001,pa1_full_001,1,1,0,0,20260816,constrained_latin_hypercube_sampling,pa1_constrained_lhs_v1,False,0.25987923633928883,0.1484503779096941,76030.90520032778,8.646656175596249,1.0211366757228089,0.017706286146056318,0.2347439119592173,0.28554435726877336,0.2659620252602853,0.13594718192304603,0,5,6,6,3,e4bb342af32df0450bb21c00013525b9062687e3a62dcfa84a92509df42d07ea,True,,EXTREME_VALID,EXTREME_VALID_APPROVED,
lhs_candidate_000002,pa1_full_002,pa1_full_002,2,2,0,1,20260816,constrained_latin_hypercube_sampling,pa1_constrained_lhs_v1,False,0.5937707313781648,0.1910605573480928,83328.41437779252,10.45722527635351,1.0509351934089235,0.7657056241486163,0.8292025104545293,0.604683241535552,0.5872639562039711,0.3107413568638853,17,19,13,13,7,bfa9c19f1db44184f38079a50ec19c336f8ff94ed8c7c1088e3c43e491291160,True,,PASS,APPROVED_FULL_RUN,
lhs_candidate_000003,pa1_full_003,pa1_full_003,3,3,0,2,20260816,constrained_latin_hypercube_sampling,pa1_constrained_lhs_v1,False,0.3625812888194653,0.1794706586960847,64453.45315903168,9.720684768622252,1.0363938102545842,0.13053173073678206,0.6315585593589583,0.022036938932988023,0.4456972936940425,0.22790863031004222,3,14,0,10,5,6981c19000d85223896b26c34c6874c9da6d1b331f30eeb08f5f7005a2f60954,True,,PASS,APPROVED_FULL_RUN,
lhs_candidate_000004,pa1_full_004,pa1_full_004,4,4,0,3,20260816,constrained_latin_hypercube_sampling,pa1_constrained_lhs_v1,False,0.5238725617970446,0.1672017903538136,86310.34536256846,12.656788132977825,1.2064146640767766,0.5179922779505206,0.45160806267579157,0.7691491923306977,0.890187162924929,0.9026864988904159,11,10,17,20,20,9f4acd63d09922fd8af95df47bab0d0e83f96887c3f49ca2e3e567c715add265,True,,PASS,APPROVED_FULL_RUN,
lhs_candidate_000005,pa1_full_005,pa1_full_005,5,5,0,4,20260816,constrained_latin_hypercube_sampling,pa1_constrained_lhs_v1,False,0.6224913463041152,0.1405866386936771,69530.19737322906,9.242218430144888,1.0803423208519014,0.8814762355647593,0.1647275240451087,0.10091629108078011,0.35992834418121905,0.4638944887918996,20,3,2,8,10,c0b192f8f3d9bb1bf777dc6607d43ebed913b6aab0b9b35a0fe1043d84a7f76a,True,,PASS,APPROVED_FULL_RUN,
lhs_candidate_000006,pa1_full_006,pa1_full_006,6,6,0,5,20260816,constrained_latin_hypercube_sampling,pa1_constrained_lhs_v1,False,0.2992743900968508,0.11375162150324551,81160.58343956625,13.61805324059373,1.140690919011765,0.04866866434124299,0.01891070939685242,0.4975225461142726,0.9618044630833301,0.7180068523853772,1,0,11,22,16,46da8ac2e356f4880c7f84ef936fac9a31ae164c37a149fc80dfc19fc3a33fb2,True,,EXTREME_VALID,EXTREME_VALID_APPROVED,
lhs_candidate_000007,pa1_full_007,pa1_full_007,7,7,0,6,20260816,constrained_latin_hypercube_sampling,pa1_constrained_lhs_v1,False,0.42491817505513363,0.19633287938935798,82032.88038491813,12.039030639169972,1.1172996540236286,0.24981819985250237,0.9280023651444588,0.5393864645067888,0.8246532088845164,0.629117595334602,5,21,12,18,14,b1da6a9a923edf7442d6f1ced387c6cbd2b14f689f8c8e690257f84f5e82f745,True,,PASS,APPROVED_FULL_RUN,
lhs_candidate_000008,pa1_full_008,pa1_full_008,8,8,0,7,20260816,constrained_latin_hypercube_sampling,pa1_constrained_lhs_v1,False,0.5565400339108825,0.1878473088416509,80177.09736984805,13.022543382116742,1.100347659217742,0.6277570162033245,0.7717149670720397,0.45235028696925444,0.9217933064877941,0.5570993646685014,14,17,10,21,12,dbc4c842df314bb51215b6b4acf10ec6e894693c7abe343dde35503bbc6d1583,True,,PASS,APPROVED_FULL_RUN,
lhs_candidate_000009,pa1_full_009,pa1_full_009,9,9,0,8,20260816,constrained_latin_hypercube_sampling,pa1_constrained_lhs_v1,False,0.4874649292737562,0.1844019791788799,87166.74624315242,8.443606402396368,1.1294514346112494,0.40807943487587967,0.7123694089312077,0.820035668266484,0.2371685010925051,0.6768131871537674,9,16,18,5,15,dcdf41ed9efd2ad42bb181f7e24077579dd4f34a70d62507551bc0323a01db66,True,,PASS,APPROVED_FULL_RUN,
