parameter_set_id,physics_file,ml_file,physics_rows,ml_rows,physics_hash,ml_hash,classification,manifest_version,config_hash,validation_status
pa1_full_000_baseline,outputs\full_generation\physics\pa1_full_000_baseline.csv,outputs\full_generation\ml\pa1_full_000_baseline.csv,70128,70128,3e986c6e7229a2e664f89348724b686161510f7f91bc928fab7a9123f7a3175e,12bfb29d76f689b3bc4ba6510e228628611a01b40109ca425a71bba0ede3bb77,APPROVED_FULL_RUN,2.0,213c903b8d5cefe85add4502e2151b92f9b56a847db98b4bc0bbbe9514d46eb2,PASS
pa1_full_001,outputs\full_generation\physics\pa1_full_001.csv,outputs\full_generation\ml\pa1_full_001.csv,70128,70128,3733fa26d9ac49deaaa67b6885c7f3bbbb8cacd1b3aebda63535e16803f04e21,308b499e3d416d04a27f1116a44d1c26dac23f4c918bab0a9a692b559d350fb1,EXTREME_VALID_APPROVED,2.0,e4bb342af32df0450bb21c00013525b9062687e3a62dcfa84a92509df42d07ea,PASS
pa1_full_002,outputs\full_generation\physics\pa1_full_002.csv,outputs\full_generation\ml\pa1_full_002.csv,70128,70128,3ebad80bbf084aaf0c80d736d1b00e60d677e4f108eee63cc080e091bcfa1f79,05aed8019b994bb3f03a078018f5e0b48f0294757c75d5566f6ea1a9dcb823dc,APPROVED_FULL_RUN,2.0,bfa9c19f1db44184f38079a50ec19c336f8ff94ed8c7c1088e3c43e491291160,PASS
pa1_full_003,outputs\full_generation\physics\pa1_full_003.csv,outputs\full_generation\ml\pa1_full_003.csv,70128,70128,2fac0c886b3583e199f8ae9afd7402c755dec6c3af79e572bc7aa2e7053c5fac,ece3a91e8d9817efe70af5f4348e2c544420896f314dfc06c94578cf6a1f8a72,APPROVED_FULL_RUN,2.0,6981c19000d85223896b26c34c6874c9da6d1b331f30eeb08f5f7005a2f60954,PASS
pa1_full_004,outputs\full_generation\physics\pa1_full_004.csv,outputs\full_generation\ml\pa1_full_004.csv,70128,70128,09db92f857282d3362090bfc3a060d93983ef1fa46457a70c6510e9fd42c8234,486eca7657059a3cfd957bfea9ccf38f6a43db29910cfe6d24b183d62869aceb,APPROVED_FULL_RUN,2.0,9f4acd63d09922fd8af95df47bab0d0e83f96887c3f49ca2e3e567c715add265,PASS
pa1_full_005,outputs\full_generation\physics\pa1_full_005.csv,outputs\full_generation\ml\pa1_full_005.csv,70128,70128,b963e01f518ace38068f634f3633c0c1937c766037f2a650570e461d5337b909,757b027e4e62f711d615dccdc4619c2234a6fea5df511c05f6fb1724c5d84b26,APPROVED_FULL_RUN,2.0,c0b192f8f3d9bb1bf777dc6607d43ebed913b6aab0b9b35a0fe1043d84a7f76a,PASS
pa1_full_009,outputs\full_generation\physics\pa1_full_009.csv,outputs\full_generation\ml\pa1_full_009.csv,70128,70128,137cd38d5781d9b1a07d1c169e7934f98dd611b79c61885ee5d37b4a065ec4f9,05e64d3e3a784d972cc9918a4d2a4f73c94bdc0b54ae5c01c8c76b1d49b64877,APPROVED_FULL_RUN,2.0,dcdf41ed9efd2ad42bb181f7e24077579dd4f34a70d62507551bc0323a01db66,PASS
pa1_full_010,outputs\full_generation\physics\pa1_full_010.csv,outputs\full_generation\ml\pa1_full_010.csv,70128,70128,8a7f349dbbcd60e748cc5d7beb0de510284865c3d4cbf853d0fb8067499b0f11,19466f23e09161d742c7e10098a8bd01dd4cc4407423b1716ba4bcf90530b388,APPROVED_FULL_RUN,2.0,381de891d081a0afdf0fbdef295cb89c45de5900fa4ee7eda2dbf9497739ffb7,PASS
pa1_full_011,outputs\full_generation\physics\pa1_full_011.csv,outputs\full_generation\ml\pa1_full_011.csv,70128,70128,aae787d295b8f42de9e3b6b970d3f2778dd8bbfa27e1a323be41fee26e69d071,3ecc265f0bbe8522494dd1f3c0a1060c9812ab3df706d3d46ecfa3c40a82429b,APPROVED_FULL_RUN,2.0,588d1d08aac332bec5bc79095b761e83e8e3dae06ed4992f407a5ef4c74e8ea3,PASS
pa1_full_012,outputs\full_generation\physics\pa1_full_012.csv,outputs\full_generation\ml\pa1_full_012.csv,70128,70128,92861496959c4308f37520ac89adf8ba621a04561b6f05d235aafda1ef5b95fc,8e1f793c42843f656228ee88161139128930ed5e556ee5839ad488c057863941,APPROVED_FULL_RUN,2.0,0ba14850bb450ce274a6b5c2a6b3be0f30b6c3c8f7346f8acddae7aa66a7658a,PASS
pa1_full_017,outputs\full_generation\physics\pa1_full_017.csv,outputs\full_generation\ml\pa1_full_017.csv,70128,70128,fed99a202702921582066ec57e33d4ba7d66a976dcab397e0fb71b6f12d21d2e,ff0dce2654696e8f480f424039871167d4079c2d5c2f6e018e699e89ee1bf345,APPROVED_FULL_RUN,2.0,baec68e979dadfaddd2228f41c4f55e480f9a7adf05572671dbd487c6c948ddc,PASS
pa1_full_018,outputs\full_generation\physics\pa1_full_018.csv,outputs\full_generation\ml\pa1_full_018.csv,70128,70128,b260db501321313e28c13c9fa7e97003a99dc0138e1b2280aed5a54c5bf753ca,a376fec680d5cffa919ea8d9ac88bc0a88d1969b343221932cc801b6f42122d1,APPROVED_FULL_RUN,2.0,79057dfefe9e28cedf35cf0f74b2a77d05ff6517c79772d54e8744beb1636828,PASS
pa1_full_021,outputs\full_generation\physics\pa1_full_021.csv,outputs\full_generation\ml\pa1_full_021.csv,70128,70128,0caeeeef8b13b4a15d1d227a74e3b07f589bc87bf6329d283966b7062a5b25f2,82d7981974558ca31e6ecbc873bd4d17fdb7ae3bcb0dbf55e85507ebbe94c0b5,APPROVED_FULL_RUN,2.0,2ff5737549fe94aea92a01d56939faf1aa35a80c15c3374ef51af1b6138c6536,PASS
pa1_full_023,outputs\full_generation\physics\pa1_full_023.csv,outputs\full_generation\ml\pa1_full_023.csv,70128,70128,385b85072c967d8b9ee6d7184447f12ee05b7845635bcbddbfb75aa122d8fa33,32059fef8ab1bee721cad52d566709da3b37c3718101e2de8b7919e60a43af01,APPROVED_FULL_RUN,2.0,ddcc0f1077fc26ec6d378edf40df5228428d3096024022caf2ef66aeaf98506e,PASS
pa1_v2_replacement_001,outputs\full_generation\physics\pa1_v2_replacement_001.csv,outputs\full_generation\ml\pa1_v2_replacement_001.csv,70128,70128,d5550afa9d3fc3e3d368b747db85bcaabbc47e610ba93237b999829cdb5a9581,b1d5aa4822a2ba1a4c8649cda21809b75c75ac5eac4553dfcb2b625321fb3774,EXTREME_VALID_APPROVED,2.0,2352ec463a60dc856e32eca051d4590d2422cd9372fb8d91a182f5f760061b33,PASS
pa1_v2_replacement_002,outputs\full_generation\physics\pa1_v2_replacement_002.csv,outputs\full_generation\ml\pa1_v2_replacement_002.csv,70128,70128,2d8a042399479ae013042b11fc70477214bf38f63ba90415de3fa3673f33c754,90b4407b80e7167200398c75720308061f45e1621c3b647812d412e304c605bc,EXTREME_VALID_APPROVED,2.0,11995d3bde61cee00bd5ad691da7eecaf254d8a838100f996983bacad7361be2,PASS
pa1_v2_replacement_003,outputs\full_generation\physics\pa1_v2_replacement_003.csv,outputs\full_generation\ml\pa1_v2_replacement_003.csv,70128,70128,b17b652d9d25c9056e565388b8c2b158dfb155f9c8f5af174b4fb36dfc1c02eb,d5f4c5760b08893e74d3b935878d1c3bab73b1a364176e115f102d727ada62bb,EXTREME_VALID_APPROVED,2.0,4ccf117c96eb6ba37c392fe9492f077c86ca02ad7e39bddf1a3a95755efd1d8e,PASS
pa1_v2_replacement_004,outputs\full_generation\physics\pa1_v2_replacement_004.csv,outputs\full_generation\ml\pa1_v2_replacement_004.csv,70128,70128,9135243a814bafcdf887b9dea959f31210a6922a990f4f93a0ea86565b199170,056d2c63bc0d3e93c4b2f6e702150cd87a879d6c85858a6594fc6e95a5486b94,APPROVED_FULL_RUN,2.0,932ec5b4a2a9abcb10845db8ed02fb4daab7e67ef3f611bf92651c0bcab60917,PASS
pa1_v2_replacement_005,outputs\full_generation\physics\pa1_v2_replacement_005.csv,outputs\full_generation\ml\pa1_v2_replacement_005.csv,70128,70128,6581c2ceabbd175667c59c1d2a42fd4c9bd5bf126206ccdb61b1b9c8a8e09ebd,23272f9bdf710629359d39fefff8e280b486b1d297a4705de4f60a32c5d24df4,EXTREME_VALID_APPROVED,2.0,a74854888373dd88d3998f89b6eeb1f2f73fa641f0e001b90d3cdead4e145983,PASS
pa1_v2_replacement_006,outputs\full_generation\physics\pa1_v2_replacement_006.csv,outputs\full_generation\ml\pa1_v2_replacement_006.csv,70128,70128,150ade86754be6387c451594bf007706c4efe36e1e247ef42aa4e2a61290dc82,eb08fdcebb27f75d56dd6178efee7c648d8d44c746d909d6636713d01b2b5115,EXTREME_VALID_APPROVED,2.0,5c81682e1e577f01d02b52c5ce40d1057edbaad708be5596b95f07c73f1700f8,PASS
pa1_v2_replacement_007,outputs\full_generation\physics\pa1_v2_replacement_007.csv,outputs\full_generation\ml\pa1_v2_replacement_007.csv,70128,70128,35df6df699bbcaccc83dfa29650af02a935bd8e5214b76f7645233806601a630,a227285296789cf8a89e6cb4842d637fa42d284f3048245c53e86ce612bebc5a,APPROVED_FULL_RUN,2.0,f0872c0d0e92f763ff3c256b2f560be52aeefefc6fba61c4bae80c70907e464b,PASS
pa1_v2_replacement_008,outputs\full_generation\physics\pa1_v2_replacement_008.csv,outputs\full_generation\ml\pa1_v2_replacement_008.csv,70128,70128,0ab78c28e636f047a767f4ace178b023c920940d44eb38743874229dc90ea400,723aa91f265d85eed37b5c174d69f5616c68ed0528549cc27d945026632dc228,EXTREME_VALID_APPROVED,2.0,f970bd363f39614d216e1e874a9dbcb4b0c22c40f1c50762cc7ca1db0240cc7e,PASS
pa1_v2_replacement_009,outputs\full_generation\physics\pa1_v2_replacement_009.csv,outputs\full_generation\ml\pa1_v2_replacement_009.csv,70128,70128,77fde95efc5290217694c62cd4236fce73676efbb054c3b3e07e5a674f40c3b0,a33e0e96742025b4cfc53479604515da5a9cc8d28add26b35a024ba63651d148,EXTREME_VALID_APPROVED,2.0,b4944a56a0d043940590401c6ab3c11da4f8fdd9b607e86082f111e215c1ff4c,PASS
pa1_v2_replacement_010,outputs\full_generation\physics\pa1_v2_replacement_010.csv,outputs\full_generation\ml\pa1_v2_replacement_010.csv,70128,70128,59c0aab2eaa50ba8aa9485192ba764ebcdc4151fd2b6efcf6e6b3f7ee9a47cff,bc1693b15bd6287892fb4d8fae1e3bb0559e18b5c0e65c7e5fa987defb6093c8,EXTREME_VALID_APPROVED,2.0,7c7e89e2f190f4e383fe192cee500033cb55ad2d3200cc62e639aad93c2463d8,PASS
