timestamp,temperature_outside,humidity_outside,shortwave_radiation,direct_radiation,diffuse_radiation,wind_speed,surface_pressure,dew_point_outside,vpd_outside_reference,et0_outside_reference,external_soil_temperature_context,external_soil_moisture_context,pump_state,fan_state,grow_light_state,vent_state,temperature_inside_true,humidity_inside_true,vapor_density_inside_true,soil_temperature_inside_true,soil_moisture_inside_true,light_lux_inside_true,vpd_inside,solar_inside,ventilation_rate_m3_s,evapotranspiration_rate_kg_s,water_stress_coefficient,condensation_rate_kg_s,drainage_rate_m3_s,air_density,simulation_id,parameter_set_id
2024-06-01T00:00,29.6,83.0,0.0,0.0,0.0,0.81,100950.0,26.4,0.72,0.0,29.8,0.176,0,0,0,1.0,29.6,83.00000000000001,0.024633318950427478,29.6,0.4,0.0,0.7049358805204089,0.0,0.0015615381237191717,4.704228246267796e-07,1.0,0.0,0.0,1.1616214428759424,lhs_candidate_000020_june2024_preflight,pa1_candidate_000020
2024-06-01T01:00,29.3,84.0,0.0,0.0,0.0,1.1,100880.0,26.4,0.63,0.0,29.6,0.176,0,0,0,1.0,29.39581783370719,84.30465308289307,0.024744803472037332,29.583244830152655,0.39992039146498404,0.0,0.6432299267193158,0.0,0.00219198159923098,4.292447687417956e-07,1.0,0.0,0.0,1.1615993716004542,lhs_candidate_000020_june2024_preflight,pa1_candidate_000020
2024-06-01T02:00,28.9,85.0,0.0,0.0,0.0,1.0,100820.0,26.1,0.59,0.0,29.4,0.176,0,0,0,1.0,29.051312558346268,85.08815047077384,0.0245112013431728,29.560549057944538,0.3998456190187207,0.0,0.5990941489952797,0.0,0.002050156933102854,3.997917676990438e-07,1.0,0.0,0.0,1.1622319111861688,lhs_candidate_000020_june2024_preflight,pa1_candidate_000020
2024-06-01T03:00,28.7,86.0,0.0,0.0,0.0,0.9,100780.0,26.1,0.54,0.0,29.2,0.176,0,0,0,1.0,28.783913412428394,86.29961201045495,0.024500422658128275,29.53106826373155,0.39977722749667205,0.0,0.5419774297064626,0.0,0.0018112106697556218,3.616762324230914e-07,1.0,0.0,0.0,1.162799688660791,lhs_candidate_000020_june2024_preflight,pa1_candidate_000020
2024-06-01T04:00,28.7,86.0,0.0,0.0,0.0,0.92,100820.0,26.1,0.55,0.0,28.8,0.176,0,0,0,1.0,28.699233394915048,86.70261247508212,0.02450131197407915,29.498387364474105,0.39971364487964955,0.0,0.5234621260555947,0.0,0.0017742945783588483,3.4932046832744955e-07,1.0,0.0,0.0,1.1635875470259591,lhs_candidate_000020_june2024_preflight,pa1_candidate_000020
2024-06-01T05:00,28.6,86.0,0.0,0.0,0.0,1.02,100840.0,26.1,0.53,0.0,28.5,0.176,0,0,0,1.0,28.630452468291995,86.55666830082063,0.02436834703016845,29.46534596826847,0.39965053442794357,0.0,0.5271027288818675,0.0,0.0019911629875909386,3.5174994129400525e-07,1.0,0.0,0.0,1.1640836258847513,lhs_candidate_000020_june2024_preflight,pa1_candidate_000020
2024-06-01T06:00,28.6,86.0,19.0,2.0,17.0,1.02,100900.0,26.0,0.54,0.02,28.5,0.176,1,0,0,1.0,28.62145727694857,87.73701345015974,0.024688513314091116,29.43559742283758,0.3995170822052994,2270.1007999999997,0.4805717182236884,16.15,0.001983875604118532,1.1289984996425182e-06,1.0,0.0,0.0,1.1648109775543216,lhs_candidate_000020_june2024_preflight,pa1_candidate_000020
2024-06-01T07:00,29.0,84.0,156.0,58.0,98.0,1.02,100980.0,26.1,0.62,0.11,29.7,0.175,0,0,0,1.0,29.067148673778366,94.17781512413167,0.027153051208458977,29.44009155735476,0.40890670559659226,17175.875200000002,0.23412448161917343,132.6,0.0020205445916950445,6.792805733389338e-06,1.0,3.4043182061566735e-07,0.0,1.1640153604241057,lhs_candidate_000020_june2024_preflight,pa1_candidate_000020
2024-06-01T08:00,30.2,75.0,326.0,146.0,180.0,0.71,101020.0,25.4,1.06,0.24,30.6,0.175,0,0,0,1.0,30.280000711714706,100.0,0.030790520499154875,29.52039519763709,0.40705008757454464,35020.831999999995,0.0,277.09999999999997,0.0014593627537408053,1.3868725685502968e-05,1.0,4.634773864398986e-06,0.0,1.1598218731171637,lhs_candidate_000020_june2024_preflight,pa1_candidate_000020
2024-06-01T09:00,31.6,66.0,535.0,311.0,224.0,0.32,101030.0,24.6,1.55,0.4,32.0,0.173,0,0,0,1.0,31.995050631903183,99.99999999999999,0.033754408648451514,29.703494801523995,0.4037534999875212,54960.857599999996,8.881784197001252e-16,454.75,0.001280168818077838,2.2760025281423584e-05,1.0,9.592484402824269e-07,0.0,1.1534173279001008,lhs_candidate_000020_june2024_preflight,pa1_candidate_000020
