timestamp,temperature_outside,humidity_outside,shortwave_radiation,direct_radiation,diffuse_radiation,wind_speed,surface_pressure,dew_point_outside,vpd_outside_reference,et0_outside_reference,external_soil_temperature_context,external_soil_moisture_context,pump_state,fan_state,grow_light_state,vent_state,temperature_inside_true,humidity_inside_true,vapor_density_inside_true,soil_temperature_inside_true,soil_moisture_inside_true,light_lux_inside_true,vpd_inside,solar_inside,ventilation_rate_m3_s,evapotranspiration_rate_kg_s,water_stress_coefficient,condensation_rate_kg_s,drainage_rate_m3_s,air_density,simulation_id,parameter_set_id
2024-06-01T00:00,29.6,83.0,0.0,0.0,0.0,0.81,100950.0,26.4,0.72,0.0,29.8,0.176,0,0,0,1.0,29.6,83.00000000000001,0.024633318950427478,29.6,0.4,0.0,0.7049358805204089,0.0,0.00048600000000000005,4.229615283122453e-07,1.0,0.0,0.0,1.1616214428759424,interaction_008_low_ventilation_high_irrigation_june2024,smartgarden_pa1_joint_a49b06fbce0a
2024-06-01T01:00,29.3,84.0,0.0,0.0,0.0,1.1,100880.0,26.4,0.63,0.0,29.6,0.176,0,0,0,1.0,29.402912718844608,85.47216629610027,0.02509715667868199,29.583646549567884,0.3999314456231532,0.0,0.5956260920479486,0.0,0.0006838295281314673,3.5737565522876915e-07,1.0,0.0,0.0,1.1615721320209602,interaction_008_low_ventilation_high_irrigation_june2024,smartgarden_pa1_joint_a49b06fbce0a
2024-06-01T02:00,28.9,85.0,0.0,0.0,0.0,1.0,100820.0,26.1,0.59,0.0,29.4,0.176,0,0,0,1.0,29.062223991105725,86.3706642710018,0.024895441176681448,29.561580561733432,0.3998696249515124,0.0,0.5479134846374683,0.0,0.0006407302969529986,3.287480907824809e-07,1.0,0.0,0.0,1.1621899485706848,interaction_008_low_ventilation_high_irrigation_june2024,smartgarden_pa1_joint_a49b06fbce0a
2024-06-01T03:00,28.7,86.0,0.0,0.0,0.0,0.9,100780.0,26.1,0.54,0.0,29.2,0.176,0,0,0,1.0,28.792650708460652,87.41828530898235,0.024829849303795202,29.532856462365825,0.39981318613377653,0.0,0.49797529952908937,0.0,0.0005661165202372655,2.9878517971745356e-07,1.0,0.0,0.0,1.162766040797257,interaction_008_low_ventilation_high_irrigation_june2024,smartgarden_pa1_joint_a49b06fbce0a
2024-06-01T04:00,28.7,86.0,0.0,0.0,0.0,0.92,100820.0,26.1,0.55,0.0,28.8,0.176,0,0,0,1.0,28.70451591603301,87.82953192740803,0.024826928897408982,29.50090217711857,0.39976077681045946,0.0,0.4792466617947819,0.0,0.0005532742951183477,2.8754799707686913e-07,1.0,0.0,0.0,1.1635671839852704,interaction_008_low_ventilation_high_irrigation_june2024,smartgarden_pa1_joint_a49b06fbce0a
2024-06-01T05:00,28.6,86.0,0.0,0.0,0.0,1.02,100840.0,26.1,0.53,0.0,28.5,0.176,0,0,0,1.0,28.635839503340083,87.73819286845051,0.024708253412850104,29.46853419225896,0.39970899398928744,0.0,0.48092616505659835,0.0,0.0006210670982920123,2.88555699033959e-07,1.0,0.0,0.0,1.1640628463832947,interaction_008_low_ventilation_high_irrigation_june2024,smartgarden_pa1_joint_a49b06fbce0a
2024-06-01T06:00,28.6,86.0,19.0,2.0,17.0,1.02,100900.0,26.0,0.54,0.02,28.5,0.176,1,0,0,1.0,28.63041848698649,89.93468771543009,0.025319315708883593,29.440433070798004,0.3995952797298609,2270.1007999999997,0.3946524004148815,16.15,0.0006197042791528382,9.635414402489287e-07,1.0,5.668273920632478e-07,0.0,1.1647763891079381,interaction_008_low_ventilation_high_irrigation_june2024,smartgarden_pa1_joint_a49b06fbce0a
2024-06-01T07:00,29.0,84.0,156.0,58.0,98.0,1.02,100980.0,26.1,0.62,0.11,29.7,0.175,0,0,0,1.0,29.10679576065251,100.0,0.02889398575792173,29.454586453707144,0.41147468994257125,17175.875200000002,0.0,132.6,0.0006385981880876732,5.966999999999999e-06,1.0,5.283429523815493e-06,0.0,1.16386267628676,interaction_008_low_ventilation_high_irrigation_june2024,smartgarden_pa1_joint_a49b06fbce0a
2024-06-01T08:00,30.2,75.0,326.0,146.0,180.0,0.71,101020.0,25.4,1.06,0.24,30.6,0.175,0,0,0,1.0,30.357183609813536,100.0,0.030918942891881962,29.560128766278442,0.4098154049425713,35020.831999999995,0.0,277.09999999999997,0.00047982521655483545,1.2469499999999998e-05,1.0,1.0384668782895953e-05,0.0,1.1595269265120094,interaction_008_low_ventilation_high_irrigation_june2024,smartgarden_pa1_joint_a49b06fbce0a
2024-06-01T09:00,31.6,66.0,535.0,311.0,224.0,0.32,101030.0,24.6,1.55,0.4,32.0,0.173,0,1,0,1.0,32.12931279740383,98.71883301601272,0.033560849858281075,29.78718564184172,0.40685123759802677,54960.857599999996,0.06136316563254418,454.75,0.0018362215968278758,2.0500567899379527e-05,1.0,0.0,0.0,1.152910053736153,interaction_008_low_ventilation_high_irrigation_june2024,smartgarden_pa1_joint_a49b06fbce0a
