scenario_id,parameter_set_id,config_hash,weather_hash,simulator_code_hash,C_d,eta_s,C_s,irrigation_flow_L_h,ET_scale,T_air_min,T_air_max,T_air_mean,RH_min,RH_max,RH_mean,RH_100_count,RH_saturation_percent,RH_longest_saturation,T_soil_min,T_soil_max,T_soil_mean,T_soil_p95,T_soil_p99,hours_soil_above_36,hours_soil_above_38,hours_soil_above_40,soil_moisture_min,soil_moisture_max,soil_moisture_mean,stress_hours,near_wilting_hours,above_field_capacity_hours,pump_on_count,pump_transition_count,ET_total_kg,irrigation_total_L,drainage_total_L,condensation_total_kg,delta_T_air_mean,delta_T_air_max,delta_RH_mean,delta_RH_max,delta_T_soil_mean,delta_T_soil_max,delta_soil_moisture_mean,delta_soil_moisture_min,delta_light_mean,delta_light_max,nonlinear_classification,validation_status,classification,warnings
interaction_000_baseline,smartgarden_pa1_joint_213c903b8d5c,213c903b8d5cefe85add4502e2151b92f9b56a847db98b4bc0bbbe9514d46eb2,2d014eb72e33a8686c01be5f0b699b38467158691ac7bc2db166853cb28b46de,07b86fd9342a4c4a8fbadd7fd0fbb10b8d31befcf9ae797dd6ff53ce2f171336,0.65,0.2,90000.0,10.0,1.0,25.103054235486592,39.600353417736926,31.0514566335703,45.73345710413205,100.0,76.50176391915448,1,0.1388888888888889,1,29.439864982668055,37.56482133232096,33.979936723807114,36.62428996833178,37.28769589324462,116,0,0,0.20168620262303516,0.40725225403915716,0.24313581179144222,637,0,0,60,120,13.655489546895538,10.00008,0.0,0.008551071449589191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BASELINE_CONTROL,PASS,VALID,Vapour saturation closure produced 115 condensation events; mass is retained in the balance audit. | Drainage remained inactive because theta never exceeded field capacity.
interaction_001_low_ventilation_high_et,smartgarden_pa1_joint_08cb4c325d59,08cb4c325d59178058f762bfda022d6a480cc6a8626a2c8d49b6f547ed696dad,2d014eb72e33a8686c01be5f0b699b38467158691ac7bc2db166853cb28b46de,07b86fd9342a4c4a8fbadd7fd0fbb10b8d31befcf9ae797dd6ff53ce2f171336,0.2,0.2,90000.0,10.0,1.3,25.11811940369382,39.86872699666107,31.099165903803172,49.272802750003564,100.0,80.27901413906196,37,5.138888888888888,5,29.439729638623458,37.65064462513672,34.01464504140907,36.702991466048346,37.37176510564877,118,0,0,0.18670092833756802,0.40702551213390087,0.2244446234371552,660,0,0,60,120,13.980987692958871,10.00008,0.0,0.6891243639470431,0.04770927023287186,0.26837357892414104,3.7772502199074722,0.0,0.03470831760195381,0.08582329281576051,-0.018691188354287014,-0.014985274285467143,0.0,0.0,ROUGHLY_ADDITIVE,FAIL,INVALID_JOINT_REGION,Vapour saturation closure produced 2270 condensation events; mass is retained in the balance audit. | Drainage remained inactive because theta never exceeded field capacity. | RH=100% exceeds the unchanged 5% persistent-saturation threshold.
interaction_002_high_soil_coupling_low_inertia,smartgarden_pa1_joint_72e6b49d1a80,72e6b49d1a8017e89179f4d8c3f19fefb430f96a9dcb6201a4c9372fdb03f83d,2d014eb72e33a8686c01be5f0b699b38467158691ac7bc2db166853cb28b46de,07b86fd9342a4c4a8fbadd7fd0fbb10b8d31befcf9ae797dd6ff53ce2f171336,0.65,0.2,60000.0,10.0,1.0,25.098447941306567,39.60679482218696,31.05226976095566,45.72608457710992,100.0,76.50327004805189,1,0.1388888888888889,1,29.3682386538056,38.307428936252705,34.04510538370319,37.260154383710535,38.06009639175936,149,9,0,0.20168605495349506,0.4072523391414606,0.24313180045946597,637,0,0,60,120,13.655515917501948,10.00008,0.0,0.008595904854095669,0.0008131273853599907,0.006441404450036714,0.001506128897403869,0.0,0.06516865989607368,0.7426076039317451,-4.011331976250254e-06,-1.4766954009592936e-07,0.0,0.0,SINGLE_AXIS_REFERENCE,PASS,EXTREME_VALID,Vapour saturation closure produced 115 condensation events; mass is retained in the balance audit. | Valid physical extreme retained; no state clipping applied. | Drainage remained inactive because theta never exceeded field capacity.
interaction_003_low_irrigation_high_et,smartgarden_pa1_joint_5eaa8462d470,5eaa8462d47046b0ceee5c0d67c39dd912250546b4684ce902b131a3999717ca,2d014eb72e33a8686c01be5f0b699b38467158691ac7bc2db166853cb28b46de,07b86fd9342a4c4a8fbadd7fd0fbb10b8d31befcf9ae797dd6ff53ce2f171336,0.65,0.2,90000.0,5.0,1.3,25.112392291831767,40.02117223847869,31.145953359119765,42.3465537798642,100.0,75.0893846501277,5,0.6944444444444444,2,29.439058943662136,37.690612529896185,34.050129186599676,36.736875230696356,37.410087179406936,121,0,0,0.1685428127520095,0.4027783393935006,0.19967882773201376,668,0,0,60,120,9.499015915646877,5.000000000000005,0.0,0.12079534506816225,0.09449672554946531,0.4208188207417649,-1.4123792690267862,0.0,0.07019246279256208,0.12579119757522506,-0.043456984059428466,-0.033143389871025664,0.0,0.0,ANTAGONISTIC_INTERACTION,PASS,VALID,Vapour saturation closure produced 298 condensation events; mass is retained in the balance audit. | Drainage remained inactive because theta never exceeded field capacity.
interaction_004_wet_humid_boundary,smartgarden_pa1_joint_c0fc643ba7cc,c0fc643ba7ccb9b01210873b57a0458eaa3bcc4ce751a844e44e77d0008588ed,2d014eb72e33a8686c01be5f0b699b38467158691ac7bc2db166853cb28b46de,07b86fd9342a4c4a8fbadd7fd0fbb10b8d31befcf9ae797dd6ff53ce2f171336,0.2,0.2,90000.0,15.0,1.3,25.108272986771123,39.468555380197294,30.987705980754548,53.834171174643004,100.0,82.99235070004637,63,8.75,5,29.439729638623458,37.528369357210345,33.931351235777925,36.58575140811109,37.253256286383504,109,0,0,0.20522945355965563,0.41119211213390083,0.24937732511521113,654,0,0,60,120,18.45365243413317,15.000000000000014,0.0,1.2185490427981538,-0.06375065281575232,-0.1317980375396317,6.4905867808918885,0.0,-0.048585488029189605,-0.03645197511061582,0.006241513323768905,0.0035432509366204734,0.0,0.0,SYNERGISTIC_INTERACTION,FAIL,INVALID_JOINT_REGION,Vapour saturation closure produced 3778 condensation events; mass is retained in the balance audit. | Drainage remained inactive because theta never exceeded field capacity. | RH=100% exceeds the unchanged 5% persistent-saturation threshold.
interaction_005_adverse_thermal_ventilation,smartgarden_pa1_joint_9019e55b470a,9019e55b470aae00620bac2be869f3c43fb16156801fd503712427a8978c9707,2d014eb72e33a8686c01be5f0b699b38467158691ac7bc2db166853cb28b46de,07b86fd9342a4c4a8fbadd7fd0fbb10b8d31befcf9ae797dd6ff53ce2f171336,0.2,0.2,60000.0,10.0,1.0,25.113777841823268,39.8043335472436,31.10868665920711,50.06794731198948,100.0,80.03708471223416,28,3.888888888888889,3,29.369051929377424,38.381273336281296,34.08803338895748,37.32753411269583,38.12203641656737,152,11,0,0.20221938412393203,0.4073081681387263,0.24420661184609496,636,0,0,60,120,13.642311253174205,10.00008,0.0,0.3395145814543221,0.05723002563680879,0.2039801295066752,3.535320793079677,0.0,0.10809666515036298,0.816452003960336,0.0010708000546527374,0.0005331815008968732,0.0,0.0,ROUGHLY_ADDITIVE,PASS,EXTREME_VALID,Vapour saturation closure produced 1674 condensation events; mass is retained in the balance audit. | Valid physical extreme retained; no state clipping applied. | Drainage remained inactive because theta never exceeded field capacity.
interaction_006_low_stress_reference,smartgarden_pa1_joint_d6cc2151ffe2,d6cc2151ffe25563f9c37e8ef27dc30d5505d7ccbb0378092e52aa21157ff587,2d014eb72e33a8686c01be5f0b699b38467158691ac7bc2db166853cb28b46de,07b86fd9342a4c4a8fbadd7fd0fbb10b8d31befcf9ae797dd6ff53ce2f171336,0.65,0.1,90000.0,10.0,1.0,25.08271869747302,39.56748890017607,31.02443397522638,45.81384759992528,100.0,76.6408248845785,2,0.2777777777777778,1,29.34487130462448,34.79708084754095,32.08787944851563,34.085505563381425,34.630558599491465,0,0,0,0.20171916656761188,0.4072522560980338,0.24317774198811323,637,0,0,60,120,13.654825349402307,10.00008,0.0,0.009266057004631893,-0.02702265834392037,-0.032864517560852846,0.13906096542402224,0.0,-1.892057275291485,-2.7677404847800133,4.193019667100839e-05,3.296394457671936e-05,0.0,0.0,SINGLE_AXIS_REFERENCE,PASS,VALID,Vapour saturation closure produced 118 condensation events; mass is retained in the balance audit. | Drainage remained inactive because theta never exceeded field capacity.
interaction_007_combined_dry_hot_stress,smartgarden_pa1_joint_c389fa3f9aaf,c389fa3f9aafd9771fca61f1f25f4d0bbe8975f1d77eb60d32655f6b74b07655,2d014eb72e33a8686c01be5f0b699b38467158691ac7bc2db166853cb28b46de,07b86fd9342a4c4a8fbadd7fd0fbb10b8d31befcf9ae797dd6ff53ce2f171336,0.65,0.2,60000.0,5.0,1.3,25.10773066658739,40.027649218054826,31.14680365451678,42.34011959816619,100.0,75.08813316620612,5,0.6944444444444444,2,29.367073309786974,38.44116165850469,34.117108236769994,37.38039363290037,38.203928339957685,155,12,0,0.16854176957570183,0.40277843894720355,0.19967462443388997,669,0,0,60,120,9.499032816795516,5.000000000000005,0.0,0.11923572337345799,0.0953470209464804,0.42729580031789993,-1.4136307529483645,0.0,0.13717151296287966,0.8763403261837297,-0.04346118735755225,-0.03314443304733333,0.0,0.0,ANTAGONISTIC_INTERACTION,PASS,EXTREME_VALID,Vapour saturation closure produced 294 condensation events; mass is retained in the balance audit. | Valid physical extreme retained; no state clipping applied. | Drainage remained inactive because theta never exceeded field capacity.
interaction_008_low_ventilation_high_irrigation,smartgarden_pa1_joint_a49b06fbce0a,a49b06fbce0a137937e58c0f32f6a41d68d609734dffa717231ee7d448a83bb1,2d014eb72e33a8686c01be5f0b699b38467158691ac7bc2db166853cb28b46de,07b86fd9342a4c4a8fbadd7fd0fbb10b8d31befcf9ae797dd6ff53ce2f171336,0.2,0.2,90000.0,15.0,1.0,25.10900168392615,39.3866921381933,31.000644420129078,54.68074467193543,100.0,82.64924772291191,54,7.5,4,29.440433070798004,37.5093614244071,33.94201764037569,36.57115382199811,37.23419925558203,107,0,0,0.22852157394068798,0.41147468994257125,0.2762540508063357,612,0,0,60,120,17.940784226716463,15.000000000000014,0.0,0.7772025711289011,-0.05081221344122255,-0.21366127954362923,6.147483803757424,0.0,-0.037919083431425804,-0.05545990791385691,0.03311823901489347,0.026835371317652817,0.0,0.0,SYNERGISTIC_INTERACTION,FAIL,INVALID_JOINT_REGION,Vapour saturation closure produced 3112 condensation events; mass is retained in the balance audit. | Drainage remained inactive because theta never exceeded field capacity. | RH=100% exceeds the unchanged 5% persistent-saturation threshold.
interaction_009_cd030_high_et_boundary,smartgarden_pa1_joint_8a3d44cbdee0,8a3d44cbdee033312c1b15e2165543243cfebeccfad01a54dbd8890ce4a6b4a2,2d014eb72e33a8686c01be5f0b699b38467158691ac7bc2db166853cb28b46de,07b86fd9342a4c4a8fbadd7fd0fbb10b8d31befcf9ae797dd6ff53ce2f171336,0.3,0.2,90000.0,10.0,1.3,25.11434430518715,39.82089979287545,31.085836514894023,47.76881848060098,100.0,79.00435711477898,20,2.7777777777777777,4,29.439496865298523,37.633881758796,34.00476298370329,36.68714507174418,37.35543236026224,117,0,0,0.186542937207291,0.40699611800281393,0.22413155042361746,660,0,0,60,120,13.984667065010793,10.00008,0.0,0.4363401586990729,0.03437988132372283,0.22054637513852526,2.502593195624499,0.0,0.024826259896173042,0.06906042647504052,-0.019004261367824765,-0.01514326541574415,0.0,0.0,NO_MATCHED_SINGLE_AXIS_CONTROL,PASS,EXTREME_VALID,Vapour saturation closure produced 1158 condensation events; mass is retained in the balance audit. | Valid physical extreme retained; no state clipping applied. | Drainage remained inactive because theta never exceeded field capacity.
