timestamp,temperature_outside,humidity_outside,shortwave_radiation,direct_radiation,diffuse_radiation,wind_speed,surface_pressure,dew_point_outside,vpd_outside_reference,et0_outside_reference,external_soil_temperature_context,external_soil_moisture_context,pump_state,fan_state,grow_light_state,vent_state,temperature_inside_true,humidity_inside_true,vapor_density_inside_true,soil_temperature_inside_true,soil_moisture_inside_true,light_lux_inside_true,vpd_inside,solar_inside,ventilation_rate_m3_s,evapotranspiration_rate_kg_s,water_stress_coefficient,condensation_rate_kg_s,drainage_rate_m3_s,air_density,simulation_id,parameter_set_id
2024-06-01T00:00,29.6,83.0,0.0,0.0,0.0,0.81,100950.0,26.4,0.72,0.0,29.8,0.176,0,0,0,1.0,29.6,83.00000000000001,0.024633318950427478,29.6,0.4,0.0,0.7049358805204089,0.0,0.0015795000000000002,4.229615283122453e-07,1.0,0.0,0.0,1.1616214428759424,scenario_007_low_soil_thermal_capacity_june2024,smartgarden_pa1_pilot_72e6b49d1a80
2024-06-01T01:00,29.3,84.0,0.0,0.0,0.0,1.1,100880.0,26.4,0.63,0.0,29.6,0.176,0,0,0,1.0,29.39813223430694,84.21902771126179,0.024722778476237158,29.57556522319584,0.3999280593429992,0.0,0.6468252915472128,0.0,0.0022189094735170205,3.8809517492832763e-07,1.0,0.0,0.0,1.1615904857208343,scenario_007_low_soil_thermal_capacity_june2024,smartgarden_pa1_pilot_72e6b49d1a80
2024-06-01T02:00,28.9,85.0,0.0,0.0,0.0,1.0,100820.0,26.1,0.59,0.0,29.4,0.176,0,0,0,1.0,29.053540035784422,85.00420111607323,0.024489988721073084,29.54278645382186,0.3998604534459309,0.0,0.6025444006429308,0.0,0.002075504810053975,3.6152664038575847e-07,1.0,0.0,0.0,1.1622233446241763,scenario_007_low_soil_thermal_capacity_june2024,smartgarden_pa1_pilot_72e6b49d1a80
2024-06-01T03:00,28.7,86.0,0.0,0.0,0.0,0.9,100780.0,26.1,0.54,0.0,29.2,0.176,0,0,0,1.0,28.785809586550926,86.21610283180225,0.024479247318026694,29.500507510879043,0.3997985951802373,0.0,0.5453408434547069,0.0,0.0018337475245815023,3.2720450607282414e-07,1.0,0.0,0.0,1.1627923862123586,scenario_007_low_soil_thermal_capacity_june2024,smartgarden_pa1_pilot_72e6b49d1a80
2024-06-01T04:00,28.7,86.0,0.0,0.0,0.0,0.92,100820.0,26.1,0.55,0.0,28.8,0.176,0,0,0,1.0,28.70084401121974,86.62072470655322,0.024480324256420122,29.454080344572308,0.399741068576808,0.0,0.526734837470114,0.0,0.0017947747618970327,3.160409024820683e-07,1.0,0.0,0.0,1.163581338353324,scenario_007_low_soil_thermal_capacity_june2024,smartgarden_pa1_pilot_72e6b49d1a80
2024-06-01T05:00,28.6,86.0,0.0,0.0,0.0,1.02,100840.0,26.1,0.53,0.0,28.5,0.176,0,0,0,1.0,28.63184307423991,86.48148797355088,0.024349031373894634,29.407689491398397,0.39968398582414405,0.0,0.5300932078638261,0.0,0.0020152038038301857,3.180559247182956e-07,1.0,0.0,0.0,1.164078261805861,scenario_007_low_soil_thermal_capacity_june2024,smartgarden_pa1_pilot_72e6b49d1a80
2024-06-01T06:00,28.6,86.0,19.0,2.0,17.0,1.02,100900.0,26.0,0.54,0.02,28.5,0.176,1,0,0,1.0,28.62563949575348,87.52062766454812,0.024633252427768513,29.3682386538056,0.39956341336533047,2270.1007999999997,0.4891701643372386,16.15,0.002010126075890482,1.020252098602343e-06,1.0,0.0,0.0,1.1647948347855324,scenario_007_low_soil_thermal_capacity_june2024,smartgarden_pa1_pilot_72e6b49d1a80
2024-06-01T07:00,29.0,84.0,156.0,58.0,98.0,1.02,100980.0,26.1,0.62,0.11,29.7,0.175,0,0,0,1.0,29.094566608916843,92.86181402952019,0.02681362300547934,29.392213533798667,0.4072523391414606,17175.875200000002,0.2874990420089989,132.6,0.0020657318736607097,6.139499425205399e-06,1.0,0.0,0.0,1.163909767466686,scenario_007_low_soil_thermal_capacity_june2024,smartgarden_pa1_pilot_72e6b49d1a80
2024-06-01T08:00,30.2,75.0,326.0,146.0,180.0,0.71,101020.0,25.4,1.06,0.24,30.6,0.175,0,0,0,1.0,30.347927504852176,98.37723931249111,0.030402027615926246,29.551823402816385,0.40557385899990256,35020.831999999995,0.07024086177954736,277.09999999999997,0.001549682743193973,1.2511644517067726e-05,1.0,1.2509744814310723e-06,0.0,1.159562289860371,scenario_007_low_soil_thermal_capacity_june2024,smartgarden_pa1_pilot_72e6b49d1a80
2024-06-01T09:00,31.6,66.0,535.0,311.0,224.0,0.32,101030.0,24.6,1.55,0.4,32.0,0.173,0,1,0,1.0,32.119114761969016,95.45268182508526,0.03243288149921101,29.890321988862496,0.40260852720890383,54960.857599999996,0.21767437989271166,454.75,0.0028312448317321243,2.0594354627935625e-05,1.0,0.0,0.0,1.1529485686628604,scenario_007_low_soil_thermal_capacity_june2024,smartgarden_pa1_pilot_72e6b49d1a80
2024-06-01T10:00,32.7,61.0,673.0,368.0,305.0,0.2,100990.0,24.1,1.93,0.52,33.3,0.172,0,1,0,1.0,33.67486549698623,80.09260861161695,0.02954676214746476,30.39408008841825,0.3983604739750696,69954.632,1.0399059667252306,572.05,0.0032086690492842164,2.6366193580035138e-05,1.0,0.0,0.0,1.146648397633525,scenario_007_low_soil_thermal_capacity_june2024,smartgarden_pa1_pilot_72e6b49d1a80
