parameter_set_id,C_d,eta_s,C_s,irrigation_flow_L_h,ET_scale,seasonal_preflight_status,full_horizon_status,classification,reference_june_status,humid_stress_status,hot_solar_status,dry_vpd_status,transition_status,humid_RH_100_count,humid_RH_saturation_fraction,humid_RH_longest_run,runtime_seconds
pa1_full_000_baseline,0.65,0.2,90000.0,10.0,1.0,SEASONAL_PREFLIGHT_PASS,FULL_HORIZON_PASS,RETAINED_FULL_HORIZON_PASS,PASS,PASS,PASS,PASS,PASS,24,0.03333333333333333,4,49.09000659999947
pa1_full_001,0.25987923633928883,0.1484503779096941,76030.90520032778,8.646656175596249,1.0211366757228089,SEASONAL_PREFLIGHT_FAIL,FULL_HORIZON_PASS,RETAINED_FULL_HORIZON_PASS,PASS,FAIL,PASS,PASS,PASS,106,0.14722222222222223,9,48.61924329999965
pa1_full_002,0.5937707313781648,0.1910605573480928,83328.41437779252,10.45722527635351,1.0509351934089235,SEASONAL_PREFLIGHT_FAIL,FULL_HORIZON_PASS,RETAINED_FULL_HORIZON_PASS,PASS,FAIL,PASS,PASS,PASS,39,0.05416666666666667,5,51.78320399999939
pa1_full_003,0.3625812888194653,0.1794706586960847,64453.45315903168,9.720684768622252,1.0363938102545842,SEASONAL_PREFLIGHT_FAIL,FULL_HORIZON_PASS,RETAINED_FULL_HORIZON_PASS,PASS,FAIL,PASS,PASS,PASS,78,0.10833333333333334,9,56.05158619999929
pa1_full_004,0.5238725617970446,0.1672017903538136,86310.34536256846,12.656788132977825,1.2064146640767766,SEASONAL_PREFLIGHT_FAIL,FULL_HORIZON_PASS,RETAINED_FULL_HORIZON_PASS,PASS,FAIL,PASS,PASS,PASS,82,0.11388888888888889,9,55.97071499999947
pa1_full_005,0.6224913463041152,0.1405866386936771,69530.19737322906,9.242218430144888,1.0803423208519014,SEASONAL_PREFLIGHT_PASS,FULL_HORIZON_PASS,RETAINED_FULL_HORIZON_PASS,PASS,PASS,PASS,PASS,PASS,23,0.03194444444444444,4,57.374654700000974
pa1_full_006,0.2992743900968508,0.11375162150324551,81160.58343956625,13.61805324059373,1.140690919011765,SEASONAL_PREFLIGHT_FAIL,FULL_HORIZON_REJECTED,REJECTED_FULL_HORIZON_V1,PASS,FAIL,PASS,PASS,FAIL,188,0.2611111111111111,10,49.957332800000586
pa1_full_007,0.42491817505513363,0.19633287938935798,82032.88038491813,12.039030639169972,1.1172996540236286,SEASONAL_PREFLIGHT_FAIL,NOT_RUN,SEASONAL_PREFLIGHT_FAIL,PASS,FAIL,PASS,PASS,PASS,101,0.14027777777777778,9,55.96595480000178
pa1_full_008,0.5565400339108825,0.1878473088416509,80177.09736984805,13.022543382116742,1.100347659217742,SEASONAL_PREFLIGHT_FAIL,NOT_RUN,SEASONAL_PREFLIGHT_FAIL,PASS,FAIL,PASS,PASS,PASS,74,0.10277777777777777,9,57.723577299999306
pa1_full_009,0.4874649292737562,0.1844019791788799,87166.74624315242,8.443606402396368,1.1294514346112494,SEASONAL_PREFLIGHT_PASS,NOT_RUN,SEASONAL_PREFLIGHT_PASS,PASS,PASS,PASS,PASS,PASS,30,0.041666666666666664,4,65.35404000000199
pa1_full_010,0.5425751179759423,0.1709148979617735,71085.46990939286,6.78110312254388,1.027760635323201,SEASONAL_PREFLIGHT_PASS,NOT_RUN,SEASONAL_PREFLIGHT_PASS,PASS,PASS,PASS,PASS,PASS,10,0.013888888888888888,3,55.46934990000227
